journal	n	included
736	425	209
737	84	0
738	25	14
739	179	97
740	181	61
741	175	0
742	556	354
743	172	115
744	768	373
745	72	0
746	248	76
747	307	126
748	807	452
749	705	470
750	755	434
751	244	80
752	469	353
753	68	53
754	829	223
755	1608	1148
756	2007	1308
757	490	181
758	4	3
759	2090	984
760	17	5
761	57	20
762	831	557
763	2791	1851
764	1556	1130
765	1023	580
766	140	100
767	123	0
768	2824	1428
769	101	48
770	1478	996
771	1390	1056
772	1152	921
773	5	3
774	120	1
775	841	595
776	161	105
777	34	19
778	708	0
779	3	0
780	153	42
781	59	39
782	51	19
783	134	4
784	1935	1121
785	841	438
786	2404	1561
787	167	118
788	33	7
789	39	20
790	359	130
791	129	0
792	154	7
793	224	85
794	7	0
795	1119	773
796	122	0
797	8	4
798	199	76
799	61	0
800	814	575
801	1281	904
802	285	4
803	120	54
804	478	140
805	7	0
806	16	0
807	87	24
808	280	212
809	3884	1879
810	16	0
811	1111	469
812	146	43
813	3644	2227
814	49	39
815	137	0
816	50	0
817	283	100
818	246	153
819	318	6
820	132	1
821	49	16
822	76	29
823	18	0
824	12	0
825	137	65
826	451	242
827	4211	2806
828	546	190
829	227	121
830	49	25
831	349	21
832	19	0
833	401	220
834	221	131
835	1294	919
836	27	6
837	376	125
838	544	371
839	340	114
840	549	306
841	78	42
842	413	221
843	25	15
844	17	3
845	1175	833
846	96	0
847	598	426
848	128	0
849	1567	1068
850	325	0
851	312	165
852	85	0
853	31	15
854	15	8
855	524	372
856	1229	460
857	112	0
858	1299	981
859	10	0
860	46	0
861	745	527
862	173	55
863	1020	638
864	23	1
865	16	0
866	1542	1
867	152	0
868	1	0
869	30	0
870	374	205
871	727	194
872	456	295
873	946	608
874	594	244
875	249	116
876	49	23
877	2529	1546
878	764	0
879	206	0
880	66	0
881	309	219
882	155	0
883	105	61
884	377	291
885	4	0
886	83	63
887	82	0
888	35	0
889	118	80
890	17	0
891	110	51
892	205	120
893	971	704
894	352	111
895	274	188
896	267	94
897	450	159
898	687	246
899	2070	1213
900	814	551
901	64	23
902	102	58
903	1194	808
904	219	57
905	168	50
906	31	0
907	288	121
908	1098	739
909	77	34
910	99	70
911	112	33
912	180	102
913	161	80
914	1459	1102
915	459	150
916	203	53
917	1845	1432
918	289	0
919	400	225
920	87	0
921	48	0
922	102	0
923	410	310
924	658	222
925	361	173
926	19	10
927	199	98
928	69	0
929	36	0
930	7	1
931	191	0
932	16	0
933	1976	1518
934	73	0
935	59	0
936	99	0
937	93	55
938	2757	1288
939	1714	1188
940	654	486
941	320	0
942	10	9
943	204	120
944	2317	924
945	658	442
946	42	17
947	4	0
948	106	49
949	2873	2098
950	209	95
951	564	255
952	26	0
953	78	52
954	253	188
955	23	0
956	309	155
957	249	0
958	625	476
959	1971	1485
960	150	0
961	160	112
962	956	605
963	216	0
964	349	185
965	70	46
966	868	172
967	1584	1110
968	356	263
969	674	451
970	317	207
971	95	0
972	504	102
973	1329	908
974	242	180
975	46	0
976	45	0
977	24	0
978	119	35
979	418	296
980	46	22
981	97	65
982	1890	1323
983	138	29
